Disease,Vector,Attribute,Neglected,AI_Type,Objective,Query,Result_Count
Zika,mosquito,virus,N,k-means clustering,diagnostic,Zika AND k-means clustering AND diagnostic,0
Zika,mosquito,virus,N,logistic regression,surveillance,Zika AND logistic regression AND surveillance,79
Zika,mosquito,virus,N,logistic regression,forecast,Zika AND logistic regression AND forecast,3
Zika,mosquito,virus,N,logistic regression,early warning system,Zika AND logistic regression AND early warning system,1
Zika,mosquito,virus,N,logistic regression,diagnostic,Zika AND logistic regression AND diagnostic,29
Zika,mosquito,virus,N,support vector machine,surveillance,Zika AND support vector machine AND surveillance,9
Zika,mosquito,virus,N,support vector machine,forecast,Zika AND support vector machine AND forecast,3
Zika,mosquito,virus,N,support vector machine,early warning system,Zika AND support vector machine AND early warning system,3
Zika,mosquito,virus,N,support vector machine,diagnostic,Zika AND support vector machine AND diagnostic,5
Zika,mosquito,virus,N,text mining,surveillance,Zika AND text mining AND surveillance,6
Zika,mosquito,virus,N,text mining,forecast,Zika AND text mining AND forecast,2
Zika,mosquito,virus,N,text mining,early warning system,Zika AND text mining AND early warning system,0
Zika,mosquito,virus,N,text mining,diagnostic,Zika AND text mining AND diagnostic,3
Zika,mosquito,virus,N,artificial neural networks,surveillance,Zika AND artificial neural networks AND surveillance,1
Zika,mosquito,virus,N,artificial neural networks,forecast,Zika AND artificial neural networks AND forecast,0
Zika,mosquito,virus,N,artificial neural networks,early warning system,Zika AND artificial neural networks AND early warning system,0
Zika,mosquito,virus,N,artificial neural networks,diagnostic,Zika AND artificial neural networks AND diagnostic,3
Zika,mosquito,virus,N,expert system,surveillance,Zika AND expert system AND surveillance,11
Zika,mosquito,virus,N,expert system,forecast,Zika AND expert system AND forecast,2
Zika,mosquito,virus,N,expert system,early warning system,Zika AND expert system AND early warning system,1
Zika,mosquito,virus,N,expert system,diagnostic,Zika AND expert system AND diagnostic,8
Zika,mosquito,virus,N,random forest,surveillance,Zika AND random forest AND surveillance,9
Zika,mosquito,virus,N,random forest,forecast,Zika AND random forest AND forecast,0
Zika,mosquito,virus,N,random forest,early warning system,Zika AND random forest AND early warning system,2
Zika,mosquito,virus,N,random forest,diagnostic,Zika AND random forest AND diagnostic,2
Zika,mosquito,virus,N,decision trees,surveillance,Zika AND decision trees AND surveillance,5
Zika,mosquito,virus,N,decision trees,forecast,Zika AND decision trees AND forecast,1
Zika,mosquito,virus,N,decision trees,early warning system,Zika AND decision trees AND early warning system,0
Zika,mosquito,virus,N,decision trees,diagnostic,Zika AND decision trees AND diagnostic,3
Zika,mosquito,virus,N,gradient boosting,surveillance,Zika AND gradient boosting AND surveillance,4
Zika,mosquito,virus,N,gradient boosting,forecast,Zika AND gradient boosting AND forecast,1
Zika,mosquito,virus,N,gradient boosting,early warning system,Zika AND gradient boosting AND early warning system,0
Zika,mosquito,virus,N,gradient boosting,diagnostic,Zika AND gradient boosting AND diagnostic,1
Zika,mosquito,virus,N,natural language processing,surveillance,Zika AND natural language processing AND surveillance,4
Zika,mosquito,virus,N,natural language processing,forecast,Zika AND natural language processing AND forecast,0
Zika,mosquito,virus,N,natural language processing,early warning system,Zika AND natural language processing AND early warning system,0
Zika,mosquito,virus,N,natural language processing,diagnostic,Zika AND natural language processing AND diagnostic,1
Zika,mosquito,virus,N,sentiment analysis,surveillance,Zika AND sentiment analysis AND surveillance,3
Zika,mosquito,virus,N,sentiment analysis,forecast,Zika AND sentiment analysis AND forecast,1
Zika,mosquito,virus,N,sentiment analysis,early warning system,Zika AND sentiment analysis AND early warning system,0
Zika,mosquito,virus,N,sentiment analysis,diagnostic,Zika AND sentiment analysis AND diagnostic,0
Zika,mosquito,virus,N,fuzzy logic,surveillance,Zika AND fuzzy logic AND surveillance,0
Zika,mosquito,virus,N,fuzzy logic,forecast,Zika AND fuzzy logic AND forecast,0
Zika,mosquito,virus,N,fuzzy logic,early warning system,Zika AND fuzzy logic AND early warning system,0
Zika,mosquito,virus,N,fuzzy logic,diagnostic,Zika AND fuzzy logic AND diagnostic,0
Chikungunya,mosquito,virus,Y,deep learning,surveillance,Chikungunya AND deep learning AND surveillance,1
Chikungunya,mosquito,virus,Y,deep learning,forecast,Chikungunya AND deep learning AND forecast,0
Chikungunya,mosquito,virus,Y,deep learning,early warning system,Chikungunya AND deep learning AND early warning system,0
Chikungunya,mosquito,virus,Y,deep learning,diagnostic,Chikungunya AND deep learning AND diagnostic,3
Chikungunya,mosquito,virus,Y,machine learning,surveillance,Chikungunya AND machine learning AND surveillance,11
Chikungunya,mosquito,virus,Y,machine learning,forecast,Chikungunya AND machine learning AND forecast,3
Chikungunya,mosquito,virus,Y,machine learning,early warning system,Chikungunya AND machine learning AND early warning system,3
Chikungunya,mosquito,virus,Y,machine learning,diagnostic,Chikungunya AND machine learning AND diagnostic,6
Chikungunya,mosquito,virus,Y,k-means clustering,surveillance,Chikungunya AND k-means clustering AND surveillance,0
Chikungunya,mosquito,virus,Y,k-means clustering,forecast,Chikungunya AND k-means clustering AND forecast,0
Chikungunya,mosquito,virus,Y,k-means clustering,early warning system,Chikungunya AND k-means clustering AND early warning system,0
Chikungunya,mosquito,virus,Y,k-means clustering,diagnostic,Chikungunya AND k-means clustering AND diagnostic,0
Chikungunya,mosquito,virus,Y,logistic regression,surveillance,Chikungunya AND logistic regression AND surveillance,65
Chikungunya,mosquito,virus,Y,logistic regression,forecast,Chikungunya AND logistic regression AND forecast,2
Chikungunya,mosquito,virus,Y,logistic regression,early warning system,Chikungunya AND logistic regression AND early warning system,1
Chikungunya,mosquito,virus,Y,logistic regression,diagnostic,Chikungunya AND logistic regression AND diagnostic,29
Chikungunya,mosquito,virus,Y,support vector machine,surveillance,Chikungunya AND support vector machine AND surveillance,7
Chikungunya,mosquito,virus,Y,support vector machine,forecast,Chikungunya AND support vector machine AND forecast,3
Chikungunya,mosquito,virus,Y,support vector machine,early warning system,Chikungunya AND support vector machine AND early warning system,3
Chikungunya,mosquito,virus,Y,support vector machine,diagnostic,Chikungunya AND support vector machine AND diagnostic,2
Chikungunya,mosquito,virus,Y,text mining,surveillance,Chikungunya AND text mining AND surveillance,7
Chikungunya,mosquito,virus,Y,text mining,forecast,Chikungunya AND text mining AND forecast,2
Chikungunya,mosquito,virus,Y,text mining,early warning system,Chikungunya AND text mining AND early warning system,0
Chikungunya,mosquito,virus,Y,text mining,diagnostic,Chikungunya AND text mining AND diagnostic,2
Chikungunya,mosquito,virus,Y,artificial neural networks,surveillance,Chikungunya AND artificial neural networks AND surveillance,1
Chikungunya,mosquito,virus,Y,artificial neural networks,forecast,Chikungunya AND artificial neural networks AND forecast,0
Chikungunya,mosquito,virus,Y,artificial neural networks,early warning system,Chikungunya AND artificial neural networks AND early warning system,0
Chikungunya,mosquito,virus,Y,artificial neural networks,diagnostic,Chikungunya AND artificial neural networks AND diagnostic,3
Chikungunya,mosquito,virus,Y,expert system,surveillance,Chikungunya AND expert system AND surveillance,7
Chikungunya,mosquito,virus,Y,expert system,forecast,Chikungunya AND expert system AND forecast,1
Chikungunya,mosquito,virus,Y,expert system,early warning system,Chikungunya AND expert system AND early warning system,2
Chikungunya,mosquito,virus,Y,expert system,diagnostic,Chikungunya AND expert system AND diagnostic,3
Chikungunya,mosquito,virus,Y,random forest,surveillance,Chikungunya AND random forest AND surveillance,6
Chikungunya,mosquito,virus,Y,random forest,forecast,Chikungunya AND random forest AND forecast,0
Chikungunya,mosquito,virus,Y,random forest,early warning system,Chikungunya AND random forest AND early warning system,2
Chikungunya,mosquito,virus,Y,random forest,diagnostic,Chikungunya AND random forest AND diagnostic,2
Chikungunya,mosquito,virus,Y,decision trees,surveillance,Chikungunya AND decision trees AND surveillance,2
Chikungunya,mosquito,virus,Y,decision trees,forecast,Chikungunya AND decision trees AND forecast,0
Chikungunya,mosquito,virus,Y,decision trees,early warning system,Chikungunya AND decision trees AND early warning system,0
Chikungunya,mosquito,virus,Y,decision trees,diagnostic,Chikungunya AND decision trees AND diagnostic,2
Chikungunya,mosquito,virus,Y,gradient boosting,surveillance,Chikungunya AND gradient boosting AND surveillance,1
Chikungunya,mosquito,virus,Y,gradient boosting,forecast,Chikungunya AND gradient boosting AND forecast,0
Chikungunya,mosquito,virus,Y,gradient boosting,early warning system,Chikungunya AND gradient boosting AND early warning system,0
Chikungunya,mosquito,virus,Y,gradient boosting,diagnostic,Chikungunya AND gradient boosting AND diagnostic,0
Chikungunya,mosquito,virus,Y,natural language processing,surveillance,Chikungunya AND natural language processing AND surveillance,0
Chikungunya,mosquito,virus,Y,natural language processing,forecast,Chikungunya AND natural language processing AND forecast,0
Chikungunya,mosquito,virus,Y,natural language processing,early warning system,Chikungunya AND natural language processing AND early warning system,0
Chikungunya,mosquito,virus,Y,natural language processing,diagnostic,Chikungunya AND natural language processing AND diagnostic,0
Chikungunya,mosquito,virus,Y,sentiment analysis,surveillance,Chikungunya AND sentiment analysis AND surveillance,1
Chikungunya,mosquito,virus,Y,sentiment analysis,forecast,Chikungunya AND sentiment analysis AND forecast,0
Chikungunya,mosquito,virus,Y,sentiment analysis,early warning system,Chikungunya AND sentiment analysis AND early warning system,0
Chikungunya,mosquito,virus,Y,sentiment analysis,diagnostic,Chikungunya AND sentiment analysis AND diagnostic,0
Chikungunya,mosquito,virus,Y,fuzzy logic,surveillance,Chikungunya AND fuzzy logic AND surveillance,0
Chikungunya,mosquito,virus,Y,fuzzy logic,forecast,Chikungunya AND fuzzy logic AND forecast,0
Chikungunya,mosquito,virus,Y,fuzzy logic,early warning system,Chikungunya AND fuzzy logic AND early warning system,0
Chikungunya,mosquito,virus,Y,fuzzy logic,diagnostic,Chikungunya AND fuzzy logic AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,deep learning,surveillance,lymphatic filariasis AND deep learning AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,deep learning,forecast,lymphatic filariasis AND deep learning AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,deep learning,early warning system,lymphatic filariasis AND deep learning AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,deep learning,diagnostic,lymphatic filariasis AND deep learning AND diagnostic,1
lymphatic filariasis,mosquito,parasite,Y,machine learning,surveillance,lymphatic filariasis AND machine learning AND surveillance,7
lymphatic filariasis,mosquito,parasite,Y,machine learning,forecast,lymphatic filariasis AND machine learning AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,machine learning,early warning system,lymphatic filariasis AND machine learning AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,machine learning,diagnostic,lymphatic filariasis AND machine learning AND diagnostic,2
lymphatic filariasis,mosquito,parasite,Y,k-means clustering,surveillance,lymphatic filariasis AND k-means clustering AND surveillance,1
lymphatic filariasis,mosquito,parasite,Y,k-means clustering,forecast,lymphatic filariasis AND k-means clustering AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,k-means clustering,early warning system,lymphatic filariasis AND k-means clustering AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,k-means clustering,diagnostic,lymphatic filariasis AND k-means clustering AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,logistic regression,surveillance,lymphatic filariasis AND logistic regression AND surveillance,45
lymphatic filariasis,mosquito,parasite,Y,logistic regression,forecast,lymphatic filariasis AND logistic regression AND forecast,2
lymphatic filariasis,mosquito,parasite,Y,logistic regression,early warning system,lymphatic filariasis AND logistic regression AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,logistic regression,diagnostic,lymphatic filariasis AND logistic regression AND diagnostic,11
lymphatic filariasis,mosquito,parasite,Y,support vector machine,surveillance,lymphatic filariasis AND support vector machine AND surveillance,1
lymphatic filariasis,mosquito,parasite,Y,support vector machine,forecast,lymphatic filariasis AND support vector machine AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,support vector machine,early warning system,lymphatic filariasis AND support vector machine AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,support vector machine,diagnostic,lymphatic filariasis AND support vector machine AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,text mining,surveillance,lymphatic filariasis AND text mining AND surveillance,2
lymphatic filariasis,mosquito,parasite,Y,text mining,forecast,lymphatic filariasis AND text mining AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,text mining,early warning system,lymphatic filariasis AND text mining AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,text mining,diagnostic,lymphatic filariasis AND text mining AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,artificial neural networks,surveillance,lymphatic filariasis AND artificial neural networks AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,artificial neural networks,forecast,lymphatic filariasis AND artificial neural networks AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,artificial neural networks,early warning system,lymphatic filariasis AND artificial neural networks AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,artificial neural networks,diagnostic,lymphatic filariasis AND artificial neural networks AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,expert system,surveillance,lymphatic filariasis AND expert system AND surveillance,3
lymphatic filariasis,mosquito,parasite,Y,expert system,forecast,lymphatic filariasis AND expert system AND forecast,2
lymphatic filariasis,mosquito,parasite,Y,expert system,early warning system,lymphatic filariasis AND expert system AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,expert system,diagnostic,lymphatic filariasis AND expert system AND diagnostic,2
lymphatic filariasis,mosquito,parasite,Y,random forest,surveillance,lymphatic filariasis AND random forest AND surveillance,2
lymphatic filariasis,mosquito,parasite,Y,random forest,forecast,lymphatic filariasis AND random forest AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,random forest,early warning system,lymphatic filariasis AND random forest AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,random forest,diagnostic,lymphatic filariasis AND random forest AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,decision trees,surveillance,lymphatic filariasis AND decision trees AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,decision trees,forecast,lymphatic filariasis AND decision trees AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,decision trees,early warning system,lymphatic filariasis AND decision trees AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,decision trees,diagnostic,lymphatic filariasis AND decision trees AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,gradient boosting,surveillance,lymphatic filariasis AND gradient boosting AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,gradient boosting,forecast,lymphatic filariasis AND gradient boosting AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,gradient boosting,early warning system,lymphatic filariasis AND gradient boosting AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,gradient boosting,diagnostic,lymphatic filariasis AND gradient boosting AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,natural language processing,surveillance,lymphatic filariasis AND natural language processing AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,natural language processing,forecast,lymphatic filariasis AND natural language processing AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,natural language processing,early warning system,lymphatic filariasis AND natural language processing AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,natural language processing,diagnostic,lymphatic filariasis AND natural language processing AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,sentiment analysis,surveillance,lymphatic filariasis AND sentiment analysis AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,sentiment analysis,forecast,lymphatic filariasis AND sentiment analysis AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,sentiment analysis,early warning system,lymphatic filariasis AND sentiment analysis AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,sentiment analysis,diagnostic,lymphatic filariasis AND sentiment analysis AND diagnostic,0
lymphatic filariasis,mosquito,parasite,Y,fuzzy logic,surveillance,lymphatic filariasis AND fuzzy logic AND surveillance,0
lymphatic filariasis,mosquito,parasite,Y,fuzzy logic,forecast,lymphatic filariasis AND fuzzy logic AND forecast,0
lymphatic filariasis,mosquito,parasite,Y,fuzzy logic,early warning system,lymphatic filariasis AND fuzzy logic AND early warning system,0
lymphatic filariasis,mosquito,parasite,Y,fuzzy logic,diagnostic,lymphatic filariasis AND fuzzy logic AND diagnostic,0
rift valley fever,mosquito,virus,N,deep learning,surveillance,rift valley fever AND deep learning AND surveillance,0
rift valley fever,mosquito,virus,N,deep learning,forecast,rift valley fever AND deep learning AND forecast,0
rift valley fever,mosquito,virus,N,deep learning,early warning system,rift valley fever AND deep learning AND early warning system,0
rift valley fever,mosquito,virus,N,deep learning,diagnostic,rift valley fever AND deep learning AND diagnostic,0
rift valley fever,mosquito,virus,N,machine learning,surveillance,rift valley fever AND machine learning AND surveillance,2
rift valley fever,mosquito,virus,N,machine learning,forecast,rift valley fever AND machine learning AND forecast,0
rift valley fever,mosquito,virus,N,machine learning,early warning system,rift valley fever AND machine learning AND early warning system,0
rift valley fever,mosquito,virus,N,machine learning,diagnostic,rift valley fever AND machine learning AND diagnostic,0
rift valley fever,mosquito,virus,N,k-means clustering,surveillance,rift valley fever AND k-means clustering AND surveillance,0
rift valley fever,mosquito,virus,N,k-means clustering,forecast,rift valley fever AND k-means clustering AND forecast,0
rift valley fever,mosquito,virus,N,k-means clustering,early warning system,rift valley fever AND k-means clustering AND early warning system,0
rift valley fever,mosquito,virus,N,k-means clustering,diagnostic,rift valley fever AND k-means clustering AND diagnostic,0
rift valley fever,mosquito,virus,N,logistic regression,surveillance,rift valley fever AND logistic regression AND surveillance,24
rift valley fever,mosquito,virus,N,logistic regression,forecast,rift valley fever AND logistic regression AND forecast,0
rift valley fever,mosquito,virus,N,logistic regression,early warning system,rift valley fever AND logistic regression AND early warning system,1
rift valley fever,mosquito,virus,N,logistic regression,diagnostic,rift valley fever AND logistic regression AND diagnostic,8
rift valley fever,mosquito,virus,N,support vector machine,surveillance,rift valley fever AND support vector machine AND surveillance,2
rift valley fever,mosquito,virus,N,support vector machine,forecast,rift valley fever AND support vector machine AND forecast,0
rift valley fever,mosquito,virus,N,support vector machine,early warning system,rift valley fever AND support vector machine AND early warning system,0
rift valley fever,mosquito,virus,N,support vector machine,diagnostic,rift valley fever AND support vector machine AND diagnostic,1
rift valley fever,mosquito,virus,N,text mining,surveillance,rift valley fever AND text mining AND surveillance,1
rift valley fever,mosquito,virus,N,text mining,forecast,rift valley fever AND text mining AND forecast,0
rift valley fever,mosquito,virus,N,text mining,early warning system,rift valley fever AND text mining AND early warning system,0
rift valley fever,mosquito,virus,N,text mining,diagnostic,rift valley fever AND text mining AND diagnostic,0
rift valley fever,mosquito,virus,N,artificial neural networks,surveillance,rift valley fever AND artificial neural networks AND surveillance,0
rift valley fever,mosquito,virus,N,artificial neural networks,forecast,rift valley fever AND artificial neural networks AND forecast,0
rift valley fever,mosquito,virus,N,artificial neural networks,early warning system,rift valley fever AND artificial neural networks AND early warning system,0
rift valley fever,mosquito,virus,N,artificial neural networks,diagnostic,rift valley fever AND artificial neural networks AND diagnostic,0
rift valley fever,mosquito,virus,N,expert system,surveillance,rift valley fever AND expert system AND surveillance,3
rift valley fever,mosquito,virus,N,expert system,forecast,rift valley fever AND expert system AND forecast,1
rift valley fever,mosquito,virus,N,expert system,early warning system,rift valley fever AND expert system AND early warning system,0
rift valley fever,mosquito,virus,N,expert system,diagnostic,rift valley fever AND expert system AND diagnostic,1
rift valley fever,mosquito,virus,N,random forest,surveillance,rift valley fever AND random forest AND surveillance,1
rift valley fever,mosquito,virus,N,random forest,forecast,rift valley fever AND random forest AND forecast,0
rift valley fever,mosquito,virus,N,random forest,early warning system,rift valley fever AND random forest AND early warning system,0
rift valley fever,mosquito,virus,N,random forest,diagnostic,rift valley fever AND random forest AND diagnostic,0
rift valley fever,mosquito,virus,N,decision trees,surveillance,rift valley fever AND decision trees AND surveillance,1
rift valley fever,mosquito,virus,N,decision trees,forecast,rift valley fever AND decision trees AND forecast,0
rift valley fever,mosquito,virus,N,decision trees,early warning system,rift valley fever AND decision trees AND early warning system,0
rift valley fever,mosquito,virus,N,decision trees,diagnostic,rift valley fever AND decision trees AND diagnostic,0
rift valley fever,mosquito,virus,N,gradient boosting,surveillance,rift valley fever AND gradient boosting AND surveillance,1
rift valley fever,mosquito,virus,N,gradient boosting,forecast,rift valley fever AND gradient boosting AND forecast,0
rift valley fever,mosquito,virus,N,gradient boosting,early warning system,rift valley fever AND gradient boosting AND early warning system,0
rift valley fever,mosquito,virus,N,gradient boosting,diagnostic,rift valley fever AND gradient boosting AND diagnostic,0
rift valley fever,mosquito,virus,N,natural language processing,surveillance,rift valley fever AND natural language processing AND surveillance,0
rift valley fever,mosquito,virus,N,natural language processing,forecast,rift valley fever AND natural language processing AND forecast,0
rift valley fever,mosquito,virus,N,natural language processing,early warning system,rift valley fever AND natural language processing AND early warning system,0
rift valley fever,mosquito,virus,N,natural language processing,diagnostic,rift valley fever AND natural language processing AND diagnostic,0
rift valley fever,mosquito,virus,N,sentiment analysis,surveillance,rift valley fever AND sentiment analysis AND surveillance,0
rift valley fever,mosquito,virus,N,sentiment analysis,forecast,rift valley fever AND sentiment analysis AND forecast,0
rift valley fever,mosquito,virus,N,sentiment analysis,early warning system,rift valley fever AND sentiment analysis AND early warning system,0
rift valley fever,mosquito,virus,N,sentiment analysis,diagnostic,rift valley fever AND sentiment analysis AND diagnostic,0
rift valley fever,mosquito,virus,N,fuzzy logic,surveillance,rift valley fever AND fuzzy logic AND surveillance,1
rift valley fever,mosquito,virus,N,fuzzy logic,forecast,rift valley fever AND fuzzy logic AND forecast,0
rift valley fever,mosquito,virus,N,fuzzy logic,early warning system,rift valley fever AND fuzzy logic AND early warning system,0
